animal;link;description;Q1;Q2;Q3;Q4;Q5
Большой Желтохохлый Какаду;https://moscowzoo.ru/animals/popugaeobraznye/bolshoy-zheltokhokhlyy-kakadu;Какаду легко привыкают к человеку и быстро становятся совсем ручными, они общительны и дружелюбны. Однако своей цели всегда добиваются - могут разорять поля, сады, повреждать постройки. Обитает в различных лесных районах, в мангровых зарослях, поэтому большую часть дня отдыхают в тени деревьев. Они птицы высокого полета: в Австралии летают на высоте до 1500 м над уровнем моря, а в Папуа-Новой Гвинее поднимаются до целых 2400 метров! ;А;А;В;Б;Г
Папуанский Пингвин;https://moscowzoo.ru/animals/pingvinoobraznye/papuanskiy-pingvin;Один из самых крупных представителей семейства! Любят быть в компании друзей и семьи: их колонии насчитывают сотни пар. Эти пингвины строят большие и уютные гнезда и тщательно охраняют их. У взрослых папуанских пингвинов на суше врагов нет, а в море на них охотятся морские львы, морские леопарды и касатки, но их громкий и трубный голос позволяет предупредить других об опасностях и получить вовремя помощь! Они привыкли к просторам Антарктиды, но стараются селиться у воды.;А;Г;Г;Г;В
Королевская кобра;https://moscowzoo.ru/animals/cheshuichatye/korolevskaya-kobra;Опасная, но величественная – именно так можно описать самую крупную ядовитую змею. Они любят прятаться в пещерах и норах, а также заползают на деревья. Обитают они преимущественно в Южной и Юго-Восточной Азии, а встретиться с представительницей можно на высоте до 2000 метров над уровнем моря! Это мудрые охотники тропических лесов, наводящие страх на многих людей, но уют для них не менее важен – это одни из немногих змей, кто строят гнезда.;А;Б;В;А;А
Ушастая Сова;https://moscowzoo.ru/animals/sovoobraznye/ushastaya-sova/;Сова – символ мудрости. Еще в народных сказках мудрые совы охраняли хозяйское добро от расхитителей – мышей и крыс. Издавна было известно – где есть совы, там нет мышей. Широко распространена во всей Евразии и Северной Америке. Населяет леса разного типа, но чаще всего – хвойные. По ночам бесшумно и быстро проводят свою охоту, внимательно высматривая пищу на полянках и опушках. Живут чаще всего парами, а днем любят проводить время в спокойствии – молча сидят в густом кустарнике.;А;Б;В;В;В
Удав Обыкновенный;https://moscowzoo.ru/animals/cheshuichatye/obyknovennyy-udav/;С детства мы считаем удава мудрой змеей – в нем же 38 попугаев! Крупное, длинное животное класса пресмыкающиеся. Наиболее предпочтительное место обитания – дождевые тропические леса. Днем любят греться на солнце, а вечером и ночью активно проводят время. Обыкновенные удавы довольно спокойные, флегматичные животные. Вне брачного периода ведут одиночный образ жизни. Из-за медленного метаболизма после удачной охоты может не есть от недели до нескольких месяцев!;А;Б;Г;В;Б
Слоновая Черепаха;https://moscowzoo.ru/animals/cherepakhi/slonovaya-cherepakha;Медлительное, ну мудрое животное – это мы помним с детства, представляя Тортиллу из сказки про Буратино! В природе у слоновой черепахи врагов практически не существует, а сами они предпочитают растения в пищу. Обитают они только на вулканических Галапагосских островах. Слоновые черепахи являются одними из самых долгоживущих животных. В природе они доживают до 100 лет, в неволе – до 150 и даже больше!;А;Г;Б;А;В
Фенек;https://moscowzoo.ru/animals/khishchnye/fenek;Удивительный и милый зверек, который также является отличным охотником! Его опушеные лапы позволяют с легкостью перемещаться по горячему песку пустынь, а большие уши позволяют по малейшему шороху в песке узнавать о передвижении своей добычи. Эти уши, однако, также помогают ему в охлаждении своего тела! Очень социальные и активные животные, обладают большим проворством и живостью, умеют высоко и далеко прыгать — до 70 см в высоту!;Б;В;Г;Б;Б
Гепард;https://moscowzoo.ru/animals/khishchnye/gepard;Самая необычная кошка — охотится днём, не лазает по деревьям, легко приручается. Во время преследования добычи гепард может развивать самую большую скорость среди всех наземных млекопитающих — до 110 км/час. Известный житель африканских саванн. Опасные хищники — следуют за перемещениями своих жертв. Одному гепарду необходимо жизненное пространство от 50 до 150 квадратных километров!;Б;В;Г;Б;А
Жираф;https://moscowzoo.ru/animals/parnokopytnye/zhiraf;Одни из самых узнаваемых и необычных животных Земли — самые высокие современные животные в сочетании с яркой пятнистой окраской и необычными пропорциями тела. Имеют спокойный характер, предпочитают держаться в небольших группах. Взрослые самцы активно перемещаются, преодолевая до 20 км в день! Уникальные животные, которые бессомненно заслуживают твоего внимания!;Б;А;Г;Г;Б
Дальневосточный леопард;https://moscowzoo.ru/animals/khishchnye/dalnevostochnyy-leopard/;Дальневосточный леопард — самый редкий и самый северный из подвидов леопарда, а также самое редкое животное семейства кошачих (всего около 70 особей!). Крупный хищник, присутствие которого можно отметить на облесённых склонах и гребнях горных отрогов со скалами и россыпями. Эта замечательно красивая кошка обладает гибким, стройным и вместе с тем вытянутым телом. Ведёт, главным образом, сумеречный образ жизни.  Подобно другим крупным кошкам леопард не любит делить территорию с другими особями своего вида.;Б;В;В;Б;А
Канюк Обыкновенный;https://moscowzoo.ru/animals/sokoloobraznye/obyknovennyy-kanyuk/;Один из наиболее обычных и многочисленных видов хищников северной Евразии. Относятся к семейству ястребиных. Предпочитают мозаичные ландшафты с наличием открытых пространств для охоты. К местам гнездования летят в одиночку, парами или небольшими группами. Легкая и бесшумная птица. К местам гнездования летят в одиночку, парами или небольшими группами.;Б;Б;А;Б;Г
Песец;https://moscowzoo.ru/animals/khishchnye/pesets;Песец - удивительный и сильный хищник, который обладает уникальными способностями охоты! Его острые когти и умелая хватка делают его мастером настигания добычи. Густая шерсть и подпушек помогают выдерживать холодные температуры, а гибкое тело - маневрировать даже в самых сложных условиях. Очень социальные животные, обладающие интеллектом и ловкостью. Они известны своей выносливостью и умением перебегать длинные расстояния, а также способностью прыгать на значительные высоты для охоты на свою добычу.;В;А;В;В;Б
Дагестанский Тур;https://moscowzoo.ru/animals/parnokopytnye/dagestanskiy-vostochnokavkazskiy-tur;Величественное и могучее животное - гордость горных просторов! Его массивные рога, изогнутые вперед, являются символом силы и защиты. Крепкое тело и сильные ноги делают его исключительно адаптированным к крутым склонам и каменистым тропам гор. Ковер из густого и плотного меха защищает от суровых климатических условий в высокогорье. Благодаря своей проворности и гибкости, они способны легко маневрировать и преодолевать препятствия.;В;В;А;В;А
Никобарский Голубь;https://moscowzoo.ru/animals/golubeobraznye-/nikobarskiy-golub;Удивительное существо, обладающее изящной красотой и неповторимым изяществом! Его яркое оперение и грациозная осанка делают его настоящим украшением тропических лесов. Предпочитабт небольшие, чаще всего необитаемые острова, где отсутствуют хищники. Живут в джунглях и способны легко маневрировать в густой листве и деревьях благодаря своей ловкости и легкости полета. Обладают социальным нравом, часто формируя крепкие пары и устраивая сложные обряды ухаживания.;В;А;Б;А;Г
Голубой Баран;https://moscowzoo.ru/animals/parnokopytnye/goluboy-baran;Отлично приспособлены к жизни в суровых горных условиях, адаптированы к горным склонам и каменистым просторам. Крепкие ноги и мускулистое тело помогают нахурам сохранять баланс и ловко передвигаться по сложной местности.  Их выносливость и способность прыгать на высоту делают их мастерами горных пейзажей и символами стойкости в суровых условиях природы.;В;В;А;Б;А
Валлаби Беннета;https://moscowzoo.ru/animals/sumchatye/vallabi-benneta;Очаровательное существо, обитающее в разнообразных ландшафтах Австралии. Длинные и упругие задниелапы делают его отличным прыгуном и позволяют быстро перемещаться по дикой местности. Обладает хорошей наблюдательностью и проворностью. Приветливый и общительный, часто живет в стадах. Знаменит своей способностью прыгать на невероятные высоты, что помогает ему избегать опасностей и находить пищу в труднодоступных местах.;В;А;Г;Г;Г
Росомаха;https://moscowzoo.ru/animals/khishchnye/rosomakha;Сильное и выносливое животное, невероятно адаптированное к суровым условиям северных регионов. Мастером охоты и выживания в снежных ландшафтах. Росомахи известны своей храбростью и умением охотиться даже на более крупных животных. Часто живут в одиночестве. Обладают ловкостью, проворством и выносливостью для выживания в суровых условиях холодных регионов. Росомаха – символ силы и независимости дикой природы.;В;Б;В;В;А
Красный волк;https://moscowzoo.ru/animals/khishchnye/krasnyy-volk;Мощный хищник с красивым коричнево-рыжим мехом и яркими глазами. Умные и проворные, обладают острыми охотничьими навыками. Способны преодолевать большие расстояния в поисках добычи. Издают грозный вой и могут прыгать высоко, что делает их эффективными охотниками. Красные волки - символ силы и красоты дикой природы.;В;Б;В;В;Б
Камчатский Медведь;https://moscowzoo.ru/animals/khishchnye/buryy-medved;Настоящий великан с огромным телом и пушистым мехом. Любитель рыбной диеты, умело ловит свою еду лапами - настоящий профессионал! Обитает в лесной местности вдоль рек и озер. В охоте и играх проявляет свою силу и грацию, оставляя яркий след в природе Камчатки. ;В;Г;В;В;Б
Манул;https://moscowzoo.ru/animals/khishchnye/manul;Удивительный и обаятельный хищник, совсем как домашний кот! Обитает в безлесных, засушливых областях с резко континентальным климатом: в горах, степях и полупустынях, где выпадает мало снега. Не приспособлен к быстрому бегу, но хорошо маскируется. Убежище устраивает в расщелинах скал или в норах других животных. Высокая активность и смекалка делают его отличным охотником. А еще он просто лапочка!;Г;Г;А;А;Б
Серый Тюлень;https://moscowzoo.ru/animals/lastonogie/dlinnomordyy-ili-seryy-tyulen;Серый тюлень, известный своей мастерской в среде воды, является великолепным и изящным обитателем океана. Он предпочитает промывать свою шерсть в холодных водах морей и плавать среди волн в поисках добычи. Хищный и быстрый, серый тюлень великолепно приспособлен к океанской среде и обладает удивительной выносливостью. Довольно социален - обитает как в малых группах, так и в больших стаях.;Г;А;Б;Г;В
Капибара;https://moscowzoo.ru/animals/gryzuny/kapibara;Забавный грызун, обитающий во влажных тропических лесах и на берегах рек Южной Америки. Мирный и общительный, предпочитает общество других капибар или же других видов животных. Проводит большую часть времени, отдыхая на берегу реки. Невероятно адаптирован к водной среде. Спокойное выражение лица и способ удержания на поверхности воды сделали его мировой звездой интернета:);Г;Г;Б;А;В
Гуанако;https://moscowzoo.ru/animals/parnokopytnye/guanako;Обитает в высокогорных районах Южной Америки. Предпочитает жить в больших стадах, где поддерживает тесные социальные связи с сородичами. Гуанако способен приспосабливаться к суровым условиям высокогорной местности и умело перемещаться по каменистой местности. Изящная походка и легкость в движениях делает его символом гармонии и свободы в высокогорных пейзажах.;Г;В;А;А;Б
Мандрил;https://moscowzoo.ru/animals/primaty/mandril;Удивительные жители тропических лесов Африки, восхитительны не только своей красотой, но и социальной организованностью. Предпочитают жить в крупных группах, где царит строгая иерархия. Мандрилы обладают превосходным чутьем и интеллектом, что позволяет им уверенно навигироваться в густой листве и находить пищу. Их ярко окрашенные морды и впечатляющие клыки делают этих приматов поистине уникальными существами с завораживающим характером.;Г;А;В;Г;Б
Полосатый Скунс;https://moscowzoo.ru/animals/khishchnye/polosatyy-skuns-/;Настоящий мастер маскировки и остроумный обитатель  Северной Америки. Обычно живущет один, предпочитает оставаться в тени и избегать встреч с другими животными. Блестяще приспособлен к защите себя от хищников благодаря выбиванию неприятных запахов из специальных желез. Своим скрытным образом жизни и уникальными защитными механизмами полосатый скунс создает живописный образ загадочного хищника.;Г;В;Б;Б;А
